物品数量,背包容量,最大价值,计算时间(s)
1000,10000,273258.00,0.043
1000,100000,539348.00,0.392
1000,1000000,551861.00,4.200
2000,10000,386741.00,0.060
2000,100000,1093492.00,0.753
2000,1000000,1085603.00,8.433
3000,10000,457270.00,0.087
3000,100000,1438863.00,1.119
3000,1000000,1671181.00,26.278
4000,10000,533056.00,0.232
4000,100000,1682285.00,2.833
4000,1000000,2209271.00,39.584
5000,10000,588798.00,0.284
5000,100000,1913173.00,3.464
5000,1000000,2712052.00,49.458
6000,10000,630074.00,0.330
6000,100000,2073072.00,4.203
6000,1000000,3306659.00,56.032
7000,10000,676731.00,0.382
7000,100000,2193680.00,4.675
7000,1000000,3864273.00,66.374
8000,10000,761162.00,0.435
8000,100000,2429091.00,5.371
8000,1000000,4392880.00,69.310
9000,10000,777263.00,0.534
9000,100000,2497653.00,6.005
9000,1000000,4890855.00,80.396
10000,10000,799356.00,0.531
10000,100000,2622755.00,6.399
10000,1000000,5416442.00,90.631
20000,10000,1155564.00,1.036
20000,100000,3752162.00,12.013
20000,1000000,10897096.00,126.511
40000,10000,1568820.00,0.997
40000,100000,5261633.00,11.133
40000,1000000,17043467.00,143.991
80000,10000,2232809.00,1.991
80000,100000,7412541.00,21.487
80000,1000000,24080906.00,264.810
160000,10000,2995900.00,3.862
160000,100000,10409320.00,41.299
160000,1000000,33806563.00,488.972
320000,10000,4001008.00,7.687
320000,100000,14449483.00,80.563
320000,1000000,47641204.00,919.881
